species,scale1,scale2,2to1,1to2
N2O,WMO-X2006A,SIO-16,X-0.44,X+0.44
CH4,WMO-X2004A,TU1987,X*1.002,X/1.002
CO,WMO-X2014A,CSIRO94,-3.17+(0.9898*X),(X+3.17)/0.9898
